ts	phase	decision	why	evidence	result
2026-09-01T15:00:00Z	frame	fix review findings as separate verified commits	the security and runtime defects have different failure modes and rollback boundaries	PR #16 review	planned
2026-09-01T15:08:00Z	security	recomputed destination policy for every redirect and blocked fec0::/10	the initial URL must not lend loopback authority to later hosts	commit 5bed638	tests green
2026-09-01T15:14:00Z	transport	moved each private Tokio runtime onto a joined worker thread and parsed literal IP hosts structurally	synchronous package callers inside Tokio must return instead of panic	commit 6d31713	tests green
2026-09-01T15:24:00Z	resources	added atomic fetch and DNS permits plus DNS, connection, and idle limits	uncancellable system DNS work and slow responses need fixed process bounds	commit 3f317b2	all gates green
2026-09-01T15:28:00Z	documentation	updated loopback examples, timeout claims, and session denial coverage	the public instructions and executable behavior must agree	commit d1cdf0a	all gates green
2026-09-01T15:29:00Z	documentation	superseded the prior documentation evidence pointer	the amend replaced commit d1cdf0a before push	HEAD	all gates green
2026-09-01T15:34:00Z	security	superseded the earlier redirect row with a same-mode redirect invariant	recomputing each target was insufficient because session loopback access still allowed public-to-local redirects	commit 5570a83	tests green
2026-09-01T15:35:00Z	transport	superseded the process-wide runtime design with one joined worker and runtime per admitted request	a shared current-thread runtime made concurrent synchronous calls harder to reason about	commits 6d31713 and 3f317b2	verified inside Tokio
2026-09-01T15:36:00Z	resources	accepted four ordered connection attempts and four retained DNS workers	fixed limits bound hostile work; later addresses are intentionally unavailable and four stuck lookups fail closed	commit 3f317b2	tradeoff documented here
2026-09-01T15:37:00Z	verification	ran formatting, Clippy, all targets, debtmap, diff check, nested-Tokio probe, IPv6 loopback, and public HTTPS	each accepted finding needs code, test, and real-surface evidence	cargo test --all-targets; /tmp/browser-jr-async-review; example.com	verified
2026-09-01T15:38:00Z	documentation	replaced mutable and amended evidence pointers with the exact surviving documentation commit	the prior d1cdf0a and HEAD pointers were unstable	commit cbe74cb	verified
2026-09-01T15:39:00Z	frame	closed the planned review-fix run	all accepted review findings now have fixes or explicit bounded tradeoffs	commits 5bed638..5570a83	VERIFIED
2026-09-01T15:45:00Z	verification	added a real stalled-body transport test	the idle limit needed end-to-end socket evidence rather than a constant and helper test	commit 948fcdd	verified
